Day,lds.org
6/9/2014,28
6/10/2014,20
6/11/2014,23
6/12/2014,21
6/13/2014,19
6/14/2014,27
6/15/2014,76
6/16/2014,27
6/17/2014,25
6/18/2014,20
6/19/2014,19
6/20/2014,17
6/21/2014,37
6/22/2014,80
6/23/2014,33
6/24/2014,22
6/25/2014,21
6/26/2014,22
6/27/2014,21
6/28/2014,33
6/29/2014,71
6/30/2014,27
7/1/2014,21
7/2/2014,19
7/3/2014,16
7/4/2014,16
7/5/2014,25
7/6/2014,85
7/7/2014,22
7/8/2014,22
7/9/2014,21
7/10/2014,22
7/11/2014,21
7/12/2014,28
7/13/2014,82
7/14/2014,21
7/15/2014,22
7/16/2014,22
7/17/2014,16
7/18/2014,22
7/19/2014,25
7/20/2014,86
7/21/2014,32
7/22/2014,18
7/23/2014,18
7/24/2014,17
7/25/2014,17
7/26/2014,32
7/27/2014,86
7/28/2014,26
7/29/2014,19
7/30/2014,21
7/31/2014,18
8/1/2014,17
8/2/2014,27
8/3/2014,85
8/4/2014,26
8/5/2014,16
8/6/2014,14
8/7/2014,17
8/8/2014,20
8/9/2014,30
8/10/2014,82
8/11/2014,28
8/12/2014,19
8/13/2014,20
8/14/2014,20
8/15/2014,20
8/16/2014,22
8/17/2014,81
8/18/2014,29
8/19/2014,22
8/20/2014,25
8/21/2014,20
8/22/2014,19
8/23/2014,34
8/24/2014,100
8/25/2014,26
8/26/2014,22
8/27/2014,20
8/28/2014,21
8/29/2014,17
8/30/2014,25
8/31/2014,73
9/1/2014,23
9/2/2014,21
9/3/2014,19
9/4/2014,21
9/5/2014,18
9/6/2014,25
